Object,ra,dec,modelMag_u,modelMagErr_u,modelMag_g,modelMagErr_g,modelMag_r,modelMagErr_r,modelMag_i,modelMagErr_i,modelMag_z,modelMagErr_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,fiberMag_u,fiberMagErr_u,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,fiberMag_i,fiberMagErr_i,fiberMag_z,fiberMagErr_z,fiber2Mag_u,fiber2MagErr_u,fiber2Mag_g,fiber2MagErr_g,fiber2Mag_r,fiber2MagErr_r,fiber2Mag_i,fiber2MagErr_i,fiber2Mag_z,fiber2MagErr_z,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z,deVMag_u,deVMagErr_u,deVMag_g,deVMagErr_g,deVMag_r,deVMagErr_r,deVMag_i,deVMagErr_i,deVMag_z,deVMagErr_z,expMag_u,expMagErr_u,expMag_g,expMagErr_g,expMag_r,expMagErr_r,expMag_i,expMagErr_i,expMag_z,expMagErr_z,cModelMag_u,cModelMagErr_u,cModelMag_g,cModelMagErr_g,cModelMag_r,cModelMagErr_r,cModelMag_i,cModelMagErr_i,cModelMag_z,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z,w1mpro,w2mpro,w3mpro,w4mpro
sdssj004600.48+000543.6,11.502,0.09544444,23.4334,0.3852773,22.24755,0.07408471,21.81842,0.06984458,21.3859,0.06510578,20.47384,0.1283415,23.48655,0.3840153,22.24283,0.07000588,21.77883,0.06187188,21.37015,0.05959028,20.4637,0.1194388,23.49831,0.6024214,22.51645,0.08382881,22.09735,0.1394961,21.75899,0.1495785,20.91563,0.2901047,23.92302,0.5279379,23.00541,0.08118343,22.58464,0.1455772,22.21247,0.1509765,21.29763,0.2687342,23.21693,0.5842283,22.24314,0.2379724,21.86903,0.1434268,21.46024,0.1337538,20.82998,0.2995723,22.59747,0.4999141,22.17922,0.0845094,21.81806,0.06984501,21.37193,0.06838099,20.39899,0.1281444,22.71936,0.4978453,22.19491,0.08433115,21.81842,0.06984458,21.37258,0.06838284,20.40629,0.1281236,22.71936,0.4978453,22.19491,0.08433115,21.81842,0.06984458,21.37258,0.06838284,20.40629,0.1281236,0.07413145,0.05776272,0.03995999,0.02969455,0.02208729,23.35926,22.18979,21.77846,21.35621,20.45176,16.876,15.538,11.491,8.038
sdssj004728.77+004020.3,11.869875,0.67230556,26.13356,0.4281942,21.80901,0.06590839,21.21804,0.06160131,21.18367,0.0931652,21.25566,0.3135115,26.02429,0.4528956,21.84188,0.06451024,21.2439,0.06170109,21.23368,0.09115002,21.28066,0.2995232,25.7365,0.6174397,22.17837,0.09876627,21.60592,0.0912501,21.5615,0.1524388,21.82977,0.6023905,25.4961,0.4774692,22.64089,0.1022836,22.0953,0.09641317,22.03445,0.1569527,22.05198,0.4619215,23.71101,4.62112,21.8283,0.1406087,21.23427,0.1357161,21.18217,0.2055013,21.53364,0.9351538,26.1252,0.4184861,21.8298,0.06836706,21.21655,0.0876563,21.05442,0.1238571,21.21466,0.4053328,26.18013,0.4198407,21.82994,0.06836578,21.21803,0.08772876,21.12709,0.1223389,21.28603,0.3991277,26.18013,0.4198407,21.8298,0.06836706,21.21803,0.08772876,21.12709,0.1223389,21.21466,0.4053328,0.1097676,0.08553021,0.0591694,0.04396921,0.03270501,26.02379,21.72348,21.15887,21.1397,21.22295,17.272,16.681,11.83,8.647
sdssj012552.08-015218.3,21.467,-1.87175,24.28293,0.7336204,22.21898,0.07754382,21.98853,0.1073131,22.27741,0.2082924,22.03325,0.4398294,24.24402,0.7032288,22.20087,0.07450026,21.9715,0.1025484,22.23346,0.1933619,22.033,0.4220832,23.57311,0.7328328,22.51053,0.1290526,22.41443,0.2103397,22.88074,0.4902819,21.81491,0.576972,24.10487,0.6610175,22.98921,0.1342533,22.81221,0.2010328,23.21249,0.4228947,22.23482,0.4899592,22.90149,0.6079814,22.26754,0.1431965,22.34321,0.2980337,22.87962,0.6854415,21.54526,0.7090372,20.66559,0.4636796,22.17525,0.08558989,21.98849,0.1073133,22.27596,0.3155981,18.47069,0.4854404,21.41994,0.409065,22.19252,0.08539353,21.98853,0.1073131,22.27763,0.3155896,19.36784,0.4847619,20.66559,0.4636796,22.17525,0.08558989,21.98853,0.1073131,22.27763,0.3155896,19.36784,0.4847619,0.2238947,0.1744572,0.1206887,0.08968464,0.06670889,24.05904,22.04452,21.86784,22.18772,21.96654,0,0,0,0
sdssj013747.84+000612.7,24.44933333,0.10352778,23.787,0.5139337,21.41676,0.04068192,21.45102,0.05609909,21.39335,0.07005658,20.89588,0.2035126,23.78293,0.3442833,21.45345,0.04549031,21.50896,0.0875176,21.4032,0.06343264,20.9683,1.017426,24.04595,1.934452,21.76949,0.06648781,21.80908,0.07057516,21.74287,0.1454214,21.26468,0.9700742,24.16522,0.6079831,22.23688,0.069874,22.28953,0.07172479,22.20928,0.1485229,21.69491,0.8457035,24.15073,1.074824,21.52997,0.06590199,21.60951,0.1080461,21.40153,0.1288545,21.27711,0.4707075,20.59561,0.3514396,21.43218,0.04672677,21.45382,0.05611264,21.42072,0.07796067,20.69381,0.254976,21.93207,0.3388987,21.42468,0.0466852,21.45102,0.05609908,21.42123,0.07795965,20.80814,0.2522194,20.59561,0.3514396,21.43218,0.04672677,21.45102,0.05609908,21.42072,0.07796067,20.77025,0.2535474,0.2148953,0.167445,0.1158377,0.0860798,0.06402756,23.5721,21.24931,21.33518,21.30727,20.83185,0,0,0,0
sdssj014607.15+121119.9,26.52979167,12.18886111,24.93192,0.8931012,21.00496,0.0351012,20.6996,0.03801635,20.5763,0.04966358,20.49462,0.1456766,24.61632,0.8674852,21.0395,0.03502419,20.75426,0.03880065,20.64044,0.04793865,20.51343,0.1321571,23.81725,0.9058154,21.37847,0.05152056,21.03931,0.06184888,20.90795,0.08435206,21.04735,0.3107679,24.32055,0.7502628,21.85893,0.05534709,21.53222,0.06601977,21.38409,0.08808427,21.41233,0.2816382,22.69291,0.6235226,21.05827,0.06735314,20.74349,0.07492448,20.66524,0.1071103,21.25919,0.6239441,19.56952,0.2975127,21.05185,0.03508263,20.69959,0.04655441,20.57318,0.05205208,20.53882,0.1476236,19.08635,0.2309779,21.0518,0.03508263,20.70732,0.04631818,20.57886,0.0520888,20.53879,0.1476236,19.56952,0.2975127,21.0518,0.03508263,20.69959,0.04655441,20.57886,0.0520888,20.53882,0.1476236,0.28471,0.2218441,0.1534707,0.1140452,0.08482867,24.64721,20.78311,20.54613,20.46226,20.40979,16.767,15.8,12.654,8.564
sdssj014841.83+055024.2,27.17429167,5.84005556,21.68165,0.1108592,21.23445,0.04234453,21.18145,0.05515412,21.13761,0.08466723,21.21188,0.3436847,21.74903,0.1066643,21.29544,0.05048874,21.26925,0.05631546,21.15465,0.07904314,21.26607,0.3256827,22.01076,0.1465174,21.64976,0.05921802,21.57354,0.08995135,21.69693,0.1756617,21.35636,0.4745385,22.53759,0.1615377,22.11831,0.06271522,22.07106,0.09571353,22.1331,0.1744408,21.85875,0.4594529,21.65499,0.1836588,21.45067,0.08876006,21.26598,0.1207057,21.38276,0.2424538,20.63187,0.4709847,21.2979,0.1085782,21.25833,0.04230546,21.18145,0.06087408,21.20631,0.08347242,20.00073,0.3232544,21.55452,0.1095271,21.25253,0.04229586,21.19623,0.06072059,21.20643,0.08347259,20.39535,0.3210626,21.2979,0.1085782,21.25253,0.04229586,21.18145,0.06087408,21.20643,0.08347259,20.00073,0.3232544,0.2443922,0.1904287,0.1317377,0.09789525,0.07281608,21.43726,21.04402,21.04971,21.03971,21.13906,0,0,0,0
sdssj015458.32+015720.2,28.743,1.95561111,24.40095,0.7616816,21.74286,0.05262547,21.41259,0.05436229,21.62268,0.08951781,21.42712,0.2828955,24.35924,0.7897828,21.75223,0.06921104,21.43393,0.07446769,21.60964,0.108973,21.36877,0.2735058,23.203,0.5032242,21.96509,0.1020187,21.72191,0.1346539,21.81155,0.2084452,22.00484,0.6475176,23.70419,0.5545033,22.45626,0.1079808,22.19773,0.139494,22.32305,0.2202764,22.15768,0.4706788,24.56435,1.303043,21.81751,0.1183344,21.61764,0.1621002,21.69498,0.2491141,21.76141,0.7366334,21.42611,1.652333,21.74393,0.06195716,21.41406,0.05936733,21.64608,0.1053093,21.20897,0.480287,20.73845,1.509482,21.74829,0.06194405,21.41264,0.05938742,21.6461,0.1053084,21.31068,0.4703095,21.42611,1.652333,21.74393,0.06195716,21.41264,0.05938742,21.64608,0.1053093,21.31068,0.4703095,0.09798563,0.07634974,0.0528184,0.03924973,0.02919459,24.30296,21.66651,21.35978,21.58343,21.39792,17.139,16.744,12.658,9.21
sdssj015700.14+073116.0,29.25058333,7.52111111,23.12834,0.4116407,21.20145,0.03661649,21.07658,0.04637441,21.26719,0.08003276,21.05114,0.2131217,23.16191,0.3949628,21.22399,0.03570142,21.1166,0.04731327,21.3054,0.07586029,21.07948,0.2008301,23.07873,0.5185531,21.51435,0.0557148,21.38127,0.08010002,21.59396,0.1524301,21.11945,0.3263633,23.55481,0.5014071,22.01332,0.06055853,21.86994,0.08475216,22.06625,0.1567715,21.62874,0.3277013,22.49673,0.5254207,21.19005,0.07721343,21.07289,0.09712345,21.44361,0.2242354,20.74257,0.385028,22.35408,0.3768596,21.21039,0.04096276,21.06869,0.05655071,21.27843,0.09956416,20.13741,0.2160416,22.51255,0.4062798,21.21247,0.04094093,21.07665,0.05673463,21.28691,0.09951897,20.65871,0.2111773,22.35408,0.3768596,21.21247,0.04094093,21.07665,0.05673463,21.27843,0.09956416,20.13741,0.2160416,0.2181734,0.1699992,0.1176047,0.08739288,0.06500425,22.91017,21.03145,20.95897,21.17979,20.98613,0,0,0,0
sdssj020245.82+000848.4,30.69091667,0.14677778,22.3848,0.2380519,21.91031,0.05959548,21.88587,0.08018919,21.72967,0.09307207,21.03589,0.2090618,22.14388,0.1825987,21.91652,0.05709106,21.84345,0.07916746,21.72966,0.08632778,21.05887,0.1972609,23.59139,0.8608644,22.19206,0.1042515,22.26777,0.1694533,22.24511,0.2499388,21.13238,0.3884829,23.569,0.5718149,22.67288,0.1092458,22.75732,0.1268545,22.70156,0.2482019,21.57364,0.37045,23.51277,2.517096,22.21161,0.3169159,21.81348,0.3638774,22.38558,0.8658658,20.1167,0.4855734,22.38251,0.237624,21.88486,0.08144696,21.88539,0.0863483,21.70465,0.100414,20.53728,0.3316685,22.3825,0.2376296,21.88773,0.08139852,21.88585,0.08635246,21.705,0.1004122,20.79501,0.3225676,22.3825,0.2376296,21.88486,0.08144695,21.88585,0.08635246,21.705,0.1004122,20.53728,0.3316685,0.1017416,0.07927637,0.05484302,0.04075424,0.03031367,22.28306,21.83103,21.83103,21.68892,21.00558,0,0,0,0
sdssj020643.64+010403.3,31.68183333,1.06758333,22.79474,0.3019981,21.81575,0.05697434,21.29104,0.05011889,21.01372,0.05732519,20.44212,0.119583,22.80657,0.2894645,21.81401,0.05491467,21.32162,0.04868328,21.0585,0.05573001,20.44388,0.1103485,23.04843,0.4055243,22.15831,0.08929317,21.62799,0.08151668,21.27183,0.09306638,20.77738,0.2108408,23.49,0.3859681,22.61457,0.09238312,22.09812,0.08505147,21.79272,0.1008279,21.24063,0.2105408,22.66666,0.4665382,21.95749,0.1218964,21.3805,0.1015927,20.89184,0.1057442,20.71209,0.3261685,22.48848,0.4008434,21.77162,0.05685081,21.2922,0.07425822,20.8807,0.06917287,20.4692,0.1611694,22.6313,0.39504,21.77667,0.05684413,21.29104,0.07447528,20.92411,0.0676657,20.46926,0.1611676,22.48848,0.4008434,21.77667,0.05684413,21.29104,0.07447528,20.8807,0.06917287,20.4692,0.1611694,0.1098701,0.08561004,0.05922463,0.04401024,0.03273554,22.68487,21.73014,21.23182,20.96971,20.40938,16.682,16.009,12.441,8.595
